timestamp,message
1762596126203,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596126203,"INIT_REPORT Init Duration: 3.68 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596126203,"START RequestId: d6e60171-5059-42c0-8ab5-bc6003149ee8 Version: $LATEST
"
1762596126205,"RequestId: d6e60171-5059-42c0-8ab5-bc6003149ee8 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596126205,"END RequestId: d6e60171-5059-42c0-8ab5-bc6003149ee8
"
1762596126205,"REPORT RequestId: d6e60171-5059-42c0-8ab5-bc6003149ee8	Duration: 4.96 ms	Billed Duration: 5 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596126592,"[FATAL tini (11)] Failed to register as child subreaper: Operation not permitted
"
1762596126593,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596126593,"INIT_REPORT Init Duration: 3.47 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596126593,"START RequestId: a20cabe9-5706-4e99-bb0d-b84d87f46f26 Version: $LATEST
"
1762596126601,"RequestId: a20cabe9-5706-4e99-bb0d-b84d87f46f26 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596126601,"END RequestId: a20cabe9-5706-4e99-bb0d-b84d87f46f26
"
1762596126601,"REPORT RequestId: a20cabe9-5706-4e99-bb0d-b84d87f46f26	Duration: 11.16 ms	Billed Duration: 12 ms	Memory Size: 512 MB	Max Memory Used: 4 MB	
"
1762596126752,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596126752,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596126752,"INIT_REPORT Init Duration: 3.10 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596126753,"START RequestId: 0d435528-510d-4ffc-8ddd-aea35e7ff6fc Version: $LATEST
"
1762596126761,"RequestId: 0d435528-510d-4ffc-8ddd-aea35e7ff6fc Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596126761,"END RequestId: 0d435528-510d-4ffc-8ddd-aea35e7ff6fc
"
1762596126761,"REPORT RequestId: 0d435528-510d-4ffc-8ddd-aea35e7ff6fc	Duration: 12.19 ms	Billed Duration: 13 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596126997,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596126997,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596126997,"INIT_REPORT Init Duration: 3.12 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596126997,"START RequestId: 3e745a91-bee1-4a8d-abf0-e8df3e1b07a2 Version: $LATEST
"
